yr,q,gsearch_nonbrand_conv_rt,bsearch_nonbrand_conv_rt,brand_conv_rt,organic_conv_rt,direct_type_conv_rt
2012,1,0.0324,NULL,0.0000,0.0000,0.0000
2012,2,0.0284,NULL,0.0526,0.0359,0.0536
2012,3,0.0384,0.0409,0.0602,0.0498,0.0443
2012,4,0.0436,0.0497,0.0531,0.0539,0.0537
2013,1,0.0612,0.0693,0.0704,0.0753,0.0614
2013,2,0.0686,0.0691,0.0673,0.0760,0.0736
2013,3,0.0639,0.0696,0.0708,0.0734,0.0719
2013,4,0.0629,0.0601,0.0801,0.0693,0.0647
2014,1,0.0693,0.0704,0.0840,0.0756,0.0765
2014,2,0.0702,0.0695,0.0803,0.0798,0.0738
2014,3,0.0703,0.0698,0.0756,0.0732,0.0702
2014,4,0.0782,0.0841,0.0812,0.0784,0.0748
