yr,mo,mrfuzzy_revenue,mrfuzzy_margin,lovebear_revenue,lovebear_margin,sugarpanda_revenue,sugarpanda_margin,hudsonbear_revenue,hudsonbear_margin,total_sales,revenue
2012,3,2999.40,1830.00,NULL,NULL,NULL,NULL,NULL,NULL,60,2999.40
2012,4,4949.01,3019.50,NULL,NULL,NULL,NULL,NULL,NULL,99,4949.01
2012,5,5348.93,3263.50,NULL,NULL,NULL,NULL,NULL,NULL,107,5348.93
2012,6,7048.59,4300.50,NULL,NULL,NULL,NULL,NULL,NULL,141,7048.59
2012,7,8448.31,5154.50,NULL,NULL,NULL,NULL,NULL,NULL,169,8448.31
2012,8,11397.72,6954.00,NULL,NULL,NULL,NULL,NULL,NULL,228,11397.72
2012,9,14347.13,8753.50,NULL,NULL,NULL,NULL,NULL,NULL,287,14347.13
2012,10,18546.29,11315.50,NULL,NULL,NULL,NULL,NULL,NULL,371,18546.29
2012,11,30893.82,18849.00,NULL,NULL,NULL,NULL,NULL,NULL,618,30893.82
2012,12,25294.94,15433.00,NULL,NULL,NULL,NULL,NULL,NULL,506,25294.94
2013,1,17146.57,10461.50,2819.53,1762.50,NULL,NULL,NULL,NULL,390,19966.10
2013,2,16796.64,10248.00,9718.38,6075.00,NULL,NULL,NULL,NULL,498,26515.02
2013,3,15996.80,9760.00,3899.35,2437.50,NULL,NULL,NULL,NULL,385,19896.15
2013,4,22945.41,13999.50,5579.07,3487.50,NULL,NULL,NULL,NULL,552,28524.48
2013,5,24445.11,14914.50,4919.18,3075.00,NULL,NULL,NULL,NULL,571,29364.29
2013,6,25144.97,15341.50,5459.09,3412.50,NULL,NULL,NULL,NULL,594,30604.06
2013,7,25394.92,15494.00,5699.05,3562.50,NULL,NULL,NULL,NULL,603,31093.97
2013,8,25494.90,15555.00,5879.02,3675.00,NULL,NULL,NULL,NULL,608,31373.92
2013,9,26894.62,16409.00,5879.02,3675.00,NULL,NULL,NULL,NULL,630,32773.64
2013,10,30143.97,18391.50,8098.65,5062.50,NULL,NULL,NULL,NULL,708,38242.62
2013,11,36192.76,22082.00,10438.26,6525.00,NULL,NULL,NULL,NULL,861,46631.02
2013,12,40891.82,24949.00,10978.17,6862.50,6392.61,4378.50,NULL,NULL,1047,58262.60
2014,1,36392.72,22204.00,10978.17,6862.50,9198.00,6300.00,NULL,NULL,982,56568.89
2014,2,29194.16,17812.00,21056.49,13162.50,9703.89,6646.50,6057.98,4141.00,1021,66012.52
2014,3,39192.16,23912.00,11518.08,7200.00,11221.56,7686.00,6147.95,4202.50,1065,68079.75
2014,4,45840.83,27968.50,12897.85,8062.50,12279.33,8410.50,7767.41,5309.50,1241,78785.42
2014,5,51539.69,31445.50,14757.54,9225.00,13705.02,9387.00,8907.03,6088.50,1368,88909.28
2014,6,44591.08,27206.00,14697.55,9187.50,13291.11,9103.50,7497.50,5125.00,1239,80077.24
2014,7,47940.41,29249.50,14517.58,9075.00,12647.25,8662.50,7797.40,5330.00,1281,82902.64
2014,8,48040.39,29310.50,14337.61,8962.50,13567.05,9292.50,9206.93,6293.50,1331,85151.98
2014,9,52789.44,32208.00,14997.50,9375.00,14578.83,9985.50,9806.73,6703.50,1423,92172.50
2014,10,58638.27,35776.50,17097.15,10687.50,16924.32,11592.00,11306.23,7728.50,1610,103965.97
2014,11,72535.49,44255.50,22616.23,14137.50,19545.75,13387.50,13465.51,9204.50,1985,128162.98
2014,12,79184.16,48312.00,23216.13,14512.50,24788.61,16978.50,17634.12,12054.00,2314,144823.02
